일차,프레게1(초4),프레게2(초5),프레게3(초6)
40일차,[회의록] 학교 앞 교통안전을 주제로 한 토의 기록,[회의록] 학교 매점 건강 간식을 주제로 한 토의 기록,[회의록] 기본소득을 주제로 한 토의 기록
41일차,[비문학] 지역 산업의 특징,[비문학] 디지털 디톡스,[비문학] 공공선택론
42일차,[비문학] 광고 속 설득 표현,[비문학] 공공재와 무임승차,[비문학] mRNA 백신
43일차,[비문학] 교통 발달과 교류,[비문학] 광합성과 엽록체,[비문학] 강화학습
44일차,[비문학] 지구라는 거대한 자석,[비문학] 오페라의 구조,[비문학] 인상주의 회화
45일차,[비문학] 안내문과 사용 설명서,[비문학] 기본소득 논의,[비문학] 데카르트의 방법적 회의
46일차,[문학] 톰 소여의 모험 4부: 결심과 실행,[문학] 청포도,[문학] 성북동 비둘기
47일차,[문학] 톰 소여의 모험 5부: 돌아보는 끝,[문학] 귀뚜라미,[문학] 제망매가
48일차,[문학] 선녀와 나무꾼,[문학] 춘향전,[문학] 진달래꽃
49일차,[칼럼] 학급 자리 바꾸기 기준을 둘러싼 서로 다른 생각,[칼럼] 학급 회의 공개 방식을 둘러싼 서로 다른 생각,[칼럼] AI 저작권을 둘러싼 서로 다른 생각
50일차,[논설문] 학급 자리 바꾸기 기준에 대해 내 입장을 밝히는 글,[논설문] 학급 회의 공개 방식에 대해 내 입장을 밝히는 글,[논설문] AI 저작권에 대해 내 입장을 밝히는 글
51일차,[비문학] 지방 자치의 역할,[비문학] 기회비용과 선택,[비문학] 플랫폼 독점
52일차,[비문학] 블랙홀의 비밀,[비문학] 재즈의 즉흥연주,[비문학] 암세포와 면역치료
53일차,[비문학] 주장과 근거의 관계,[비문학] 반려동물 입양 제도,[비문학] 추천 알고리즘
54일차,[비문학] 법이 필요한 까닭,[비문학] 국내총생산의 한계,[비문학] 입체주의
55일차,[비문학] 용해와 용액,[비문학] 풍력 발전,[비문학] 흄의 인과 비판
56일차,[문학] 양치기 소년,[문학] 심청전,[문학] 꽃
57일차,[문학] 바람과 해님,[문학] 종이비행기 규칙,[문학] 동백꽃 1부: 뜻밖의 시작
58일차,[문학] 콩쥐팥쥐,[문학] 고래가 보이는 교실,[문학] 동백꽃 2부: 새로운 만남
59일차,[건의문] 학급 자리 바꾸기 기준 해결을 위한 제안,[건의문] 학급 회의 공개 방식 해결을 위한 제안,[건의문] AI 저작권 해결을 위한 제안
60일차,[회의록] 학급 자리 바꾸기 기준을 주제로 한 토의 기록,[회의록] 학급 회의 공개 방식을 주제로 한 토의 기록,[회의록] AI 저작권을 주제로 한 토의 기록
61일차,[비문학] 궁중 음악의 특징,[비문학] 학교 선행학습 금지,[비문학] 행동경제학의 넛지
62일차,[비문학] 비행기가 나는 원리,[비문학] 영화 몽타주,[비문학] 지질 판 구조론
63일차,[비문학] 표와 그래프 읽기,[비문학] 무상 급식 찬반,[비문학] 생성형 AI
64일차,[비문학] 민주주의 절차,[비문학] 설명문의 심화 구조,[비문학] 추상표현주의
65일차,[비문학] 산과 염기의 기초,[비문학] 지속가능한 소비,[비문학] 칸트의 정언명령
66일차,[문학] 달팽이 학교,[문학] 레 미제라블 1부: 뜻밖의 시작,[문학] 동백꽃 3부: 깊어지는 문제
67일차,[문학] 별주부전,[문학] 레 미제라블 2부: 새로운 만남,[문학] 동백꽃 4부: 결심과 실행
68일차,[문학] 심청전,[문학] 레 미제라블 3부: 깊어지는 문제,[문학] 동백꽃 5부: 돌아보는 끝
69일차,[칼럼] 학교 화장실 청결을 둘러싼 서로 다른 생각,[칼럼] 무상 급식을 둘러싼 서로 다른 생각,[칼럼] 패스트 패션을 둘러싼 서로 다른 생각
70일차,[논설문] 학교 화장실 청결에 대해 내 입장을 밝히는 글,[논설문] 무상 급식에 대해 내 입장을 밝히는 글,[논설문] 패스트 패션에 대해 내 입장을 밝히는 글
71일차,[비문학] 조류 독감과 방역,[비문학] 수소 에너지,[비문학] 기본소득과 복지국가
72일차,[비문학] 속담이 쓰이는 상황,[비문학] 다큐 영화의 윤리,[비문학] 대멸종의 원인
73일차,[비문학] 선거와 대표,[비문학] 촉법소년 연령 논쟁,[비문학] 데이터 압축
74일차,[비문학] 식물의 광합성,[비문학] 인과 추론의 방법,[비문학] 판소리의 서사성
75일차,[비문학] 오케스트라 악기,[비문학] 인구 구조 변화,[비문학] 니체의 가치 전도
76일차,[문학] 견우와 직녀,[문학] 레 미제라블 4부: 결심과 실행,[문학] 풀꽃
77일차,[문학] 로빈슨 크루소 1부: 뜻밖의 시작,[문학] 레 미제라블 5부: 돌아보는 끝,[문학] 봄봄 1부: 뜻밖의 시작
78일차,[문학] 로빈슨 크루소 2부: 새로운 만남,[문학] 풀꽃,[문학] 봄봄 2부: 새로운 만남
79일차,[건의문] 학교 화장실 청결 해결을 위한 제안,[건의문] 무상 급식 해결을 위한 제안,[건의문] 패스트 패션 해결을 위한 제안
80일차,[회의록] 학교 화장실 청결을 주제로 한 토의 기록,[회의록] 무상 급식을 주제로 한 토의 기록,[회의록] 패스트 패션을 주제로 한 토의 기록
81일차,[비문학] 관용 표현의 뜻,[비문학] 전자기 유도,[비문학] 힉스 보손
82일차,[비문학] 헌법과 기본권,[비문학] 사진 보도의 시선,[비문학] 공개키 암호화
83일차,[비문학] 뿌리와 줄기의 일,[비문학] 플랫폼 수수료 인상,[비문학] 한국 현대시의 이미지
84일차,[비문학] 합창의 화음,[비문학] 고조선의 8조법,[비문학] 하이데거의 존재 물음
85일차,[비문학] 기후 난민,[비문학] 반도체의 기초,[비문학] 노동 생산성
86일차,[문학] 로빈슨 크루소 3부: 깊어지는 문제,[문학] 꽃,[문학] 봄봄 3부: 깊어지는 문제
87일차,[문학] 로빈슨 크루소 4부: 결심과 실행,[문학] 산유화,[문학] 봄봄 4부: 결심과 실행
88일차,[문학] 로빈슨 크루소 5부: 돌아보는 끝,[문학] 봄길,[문학] 봄봄 5부: 돌아보는 끝
89일차,[칼럼] 방과후 교실 선택을 둘러싼 서로 다른 생각,[칼럼] 촉법소년 연령 조정을 둘러싼 서로 다른 생각,[칼럼] 디지털 디톡스를 둘러싼 서로 다른 생각
90일차,[논설문] 방과후 교실 선택에 대해 내 입장을 밝히는 글,[논설문] 촉법소년 연령 조정에 대해 내 입장을 밝히는 글,[논설문] 디지털 디톡스에 대해 내 입장을 밝히는 글
91일차,[비문학] 글쓴이의 관점 찾기,[비문학] 웹툰 스크롤 연출,[비문학] 암흑물질
92일차,[비문학] 생태계와 먹이그물,[비문학] 대상 분석하기,[비문학] 5G와 6G 네트워크
93일차,[비문학] 뮤지컬 무대의 구성,[비문학] 삼국 통일 논쟁,[비문학] 영화 몽타주 이론
94일차,[비문학] 도시 열섬 현상,[비문학] 인터넷 패킷,[비문학] 한나 아렌트의 악의 평범성
95일차,[비문학] 뉴스 제목과 본문,[비문학] 폰트 디자인,[비문학] 인구절벽과 복지
96일차,[문학] 풀꽃,[문학] 창문 너머 봄,[문학] 메밀꽃 필 무렵 1부: 뜻밖의 시작
97일차,[문학] 개구리네 한솥밥,[문학] 진달래꽃,[문학] 메밀꽃 필 무렵 2부: 새로운 만남
98일차,[문학] 들꽃 운동장,[문학] 동백꽃 1부: 뜻밖의 시작,[문학] 메밀꽃 필 무렵 3부: 깊어지는 문제
99일차,[건의문] 방과후 교실 선택 해결을 위한 제안,[건의문] 촉법소년 연령 조정 해결을 위한 제안,[건의문] 디지털 디톡스 해결을 위한 제안
100일차,[회의록] 방과후 교실 선택을 주제로 한 토의 기록,[회의록] 촉법소년 연령 조정을 주제로 한 토의 기록,[회의록] 디지털 디톡스를 주제로 한 토의 기록
101일차,[비문학] 생산과 소비의 연결,[비문학] 노키즈존 논란,[비문학] 사물인터넷 보안
102일차,[비문학] 미생물의 역할,[비문학] 설문 결과 읽기,[비문학] 롱테이크의 미학
103일차,[비문학] 애니메이션의 원리,[비문학] 고려의 대외 교류,[비문학] 구조주의와 기호
104일차,[비문학] 데이터와 개인정보,[비문학] 양자 통신의 기초,[비문학] 불평등 측정 지표
105일차,[비문학] 사진과 글의 관계,[비문학] 도시 공공미술,[비문학] 블랙홀 정보 역설
106일차,[문학] 하늘을 나는 씨앗,[문학] 동백꽃 2부: 새로운 만남,[문학] 메밀꽃 필 무렵 4부: 결심과 실행
107일차,[문학] 봄은 어디쯤,[문학] 동백꽃 3부: 깊어지는 문제,[문학] 메밀꽃 필 무렵 5부: 돌아보는 끝
108일차,[문학] 비밀의 화원 1부: 뜻밖의 시작,[문학] 동백꽃 4부: 결심과 실행,[문학] 봄은 고양이로다
109일차,[칼럼] 교실 에너지 절약을 둘러싼 서로 다른 생각,[칼럼] 노키즈존 운영을 둘러싼 서로 다른 생각,[칼럼] 플랫폼 독점을 둘러싼 서로 다른 생각
110일차,[논설문] 교실 에너지 절약에 대해 내 입장을 밝히는 글,[논설문] 노키즈존 운영에 대해 내 입장을 밝히는 글,[논설문] 플랫폼 독점에 대해 내 입장을 밝히는 글
111일차,[비문학] 합리적 선택과 비용,[비문학] 패스트 패션 문제,[비문학] 디지털 트윈
112일차,[비문학] 인체의 소화 기관,[비문학] 도표를 종합해 읽기,[비문학] 다큐멘터리 윤리
113일차,[비문학] 영화의 장면 전환,[비문학] 조선 전기 과전법,[비문학] 해석학의 순환
114일차,[비문학] 인공지능 번역의 원리,[비문학] 로켓 추진 원리,[비문학] 조세 전가
115일차,[비문학] 은행과 저축,[비문학] 무대 미술,[비문학] 기후 모델
116일차,[문학] 비밀의 화원 2부: 새로운 만남,[문학] 동백꽃 5부: 돌아보는 끝,[문학] 메밀꽃 향기
117일차,[문학] 비밀의 화원 3부: 깊어지는 문제,[문학] 소금꽃이 핀 날,[문학] 봄비
118일차,[문학] 비밀의 화원 4부: 결심과 실행,[문학] 웃는 감자꽃,[문학] 봉선화
119일차,[건의문] 교실 에너지 절약 해결을 위한 제안,[건의문] 노키즈존 운영 해결을 위한 제안,[건의문] 플랫폼 독점 해결을 위한 제안
120일차,[회의록] 교실 에너지 절약을 주제로 한 토의 기록,[회의록] 노키즈존 운영을 주제로 한 토의 기록,[회의록] 플랫폼 독점을 주제로 한 토의 기록
121일차,[비문학] 박물관의 역할,[비문학] 박물관 큐레이션,[비문학] 박물관 큐레이션
122일차,[비문학] 공공자전거의 효과,[비문학] 동물권과 생추어리,[비문학] 클라우드 컴퓨팅
123일차,[비문학] 호흡 기관의 일,[비문학] 인터뷰 재구성,[비문학] 사진의 프레임
124일차,[비문학] 사진 구도의 기본,[비문학] 임진왜란과 이순신,[비문학] 공리주의의 계산
125일차,[비문학] 질문을 만들며 읽기,[비문학] 조각과 공간,[비문학] 에지 컴퓨팅
126일차,[문학] 비밀의 화원 5부: 돌아보는 끝,[문학] 자전거를 타는 마음,[문학] 자전거 도둑 1부: 뜻밖의 시작
127일차,[문학] 종이배 소풍,[문학] 자전거 도둑 1부: 뜻밖의 시작,[문학] 자전거 도둑 2부: 새로운 만남
128일차,[문학] 오즈의 마법사 1부: 뜻밖의 시작,[문학] 자전거 도둑 2부: 새로운 만남,[문학] 자전거 도둑 3부: 깊어지는 문제
129일차,[칼럼] 공원 자전거 속도를 둘러싼 서로 다른 생각,[칼럼] 플랫폼 수수료를 둘러싼 서로 다른 생각,[칼럼] 탄소세 도입을 둘러싼 서로 다른 생각
130일차,[논설문] 공원 자전거 속도에 대해 내 입장을 밝히는 글,[논설문] 플랫폼 수수료에 대해 내 입장을 밝히는 글,[논설문] 탄소세 도입에 대해 내 입장을 밝히는 글
131일차,[비문학] 화폐의 기능,[비문학] 식물성 대체육,[비문학] 건축의 공간 경험
132일차,[비문학] 혈액 순환의 길,[비문학] 서평의 관점,[비문학] 롤스의 정의론
133일차,[비문학] 포스터 디자인,[비문학] 광해군의 중립외교,[비문학] GDP와 삶의 질
134일차,[비문학] 물 부족 국가의 생활,[비문학] 블랙홀,[비문학] 해양 산성화
135일차,[비문학] 무역이 이루어지는 이유,[비문학] 건축과 기능,[비문학] 로보틱스와 제어
136일차,[문학] 오즈의 마법사 2부: 새로운 만남,[문학] 자전거 도둑 3부: 깊어지는 문제,[문학] 자전거 도둑 4부: 결심과 실행
137일차,[문학] 오즈의 마법사 3부: 깊어지는 문제,[문학] 자전거 도둑 4부: 결심과 실행,[문학] 자전거 도둑 5부: 돌아보는 끝
138일차,[문학] 오즈의 마법사 4부: 결심과 실행,[문학] 자전거 도둑 5부: 돌아보는 끝,[문학] 찬기파랑가
139일차,[건의문] 공원 자전거 속도 해결을 위한 제안,[건의문] 플랫폼 수수료 해결을 위한 제안,[건의문] 탄소세 도입 해결을 위한 제안
140일차,[회의록] 공원 자전거 속도를 주제로 한 토의 기록,[회의록] 플랫폼 수수료를 주제로 한 토의 기록,[회의록] 탄소세 도입을 주제로 한 토의 기록
141일차,[비문학] 전기 회로의 연결,[비문학] 자료의 신뢰도 판단,[비문학] 바우하우스 디자인
142일차,[비문학] 사막의 생존 기술,[비문학] 영조와 정조의 탕평책,[비문학] 푸코의 권력과 지식
143일차,[비문학] 물의 순환,[비문학] 중력파,[비문학] 글로벌 공급망
144일차,[비문학] 증발과 응결,[비문학] 디자인 씽킹,[비문학] 드론 군집비행
145일차,[비문학] 해양 플라스틱 문제,[비문학] 해저 데이터 케이블,[비문학] 외부효과와 탄소세
146일차,[문학] 오즈의 마법사 5부: 돌아보는 끝,[문학] 샬롯의 거미줄 1부: 뜻밖의 시작,[문학] 가시리
147일차,[문학] 연둣빛 아침,[문학] 샬롯의 거미줄 2부: 새로운 만남,[문학] 청산별곡
148일차,[문학] 참 좋은 말,[문학] 샬롯의 거미줄 3부: 깊어지는 문제,[문학] 운수 좋은 날 1부: 뜻밖의 시작
149일차,[칼럼] 급식 잔반 줄이기를 둘러싼 서로 다른 생각,[칼럼] 반려동물 입양 기준을 둘러싼 서로 다른 생각,[칼럼] 공유경제 노동을 둘러싼 서로 다른 생각
150일차,[논설문] 급식 잔반 줄이기에 대해 내 입장을 밝히는 글,[논설문] 반려동물 입양 기준에 대해 내 입장을 밝히는 글,[논설문] 공유경제 노동에 대해 내 입장을 밝히는 글
151일차,[비문학] 친환경 건축,[비문학] 탄소 중립과 기후 위기,[비문학] 탄소 순환
152일차,[비문학] 탄소 발자국,[비문학] 재활용 기술,[비문학] 탄소포집기술
153일차,[비문학] 환경 정책과 시민,[비문학] 수질 정화,[비문학] 전기차 배터리 재활용
154일차,[비문학] 기후 위기 대응,[비문학] 관광과 환경 보전,[비문학] 미니멀리즘 디자인
155일차,[비문학] 태풍과 장마,[비문학] 과장 광고 비판,[비문학] 사르트르의 실존 선택
156일차,[문학] 무지개 세탁소,[문학] 샬롯의 거미줄 4부: 결심과 실행,[문학] 운수 좋은 날 2부: 새로운 만남
157일차,[문학] 비 오는 날의 우산,[문학] 샬롯의 거미줄 5부: 돌아보는 끝,[문학] 운수 좋은 날 3부: 깊어지는 문제
158일차,[문학] 무지개를 만난 날,[문학] 호질,[문학] 운수 좋은 날 4부: 결심과 실행
159일차,[건의문] 급식 잔반 줄이기 해결을 위한 제안,[건의문] 반려동물 입양 기준 해결을 위한 제안,[건의문] 공유경제 노동 해결을 위한 제안
160일차,[회의록] 급식 잔반 줄이기를 주제로 한 토의 기록,[회의록] 반려동물 입양 기준을 주제로 한 토의 기록,[회의록] 공유경제 노동을 주제로 한 토의 기록
161일차,[비문학] 자석과 전자석,[비문학] 동학 농민 운동,[비문학] 환율과 금리
162일차,[비문학] 캘리그래피의 흐름,[비문학] 판 구조론,[비문학] 중력파
163일차,[비문학] 제주 돌담의 지혜,[비문학] 색채의 상징,[비문학] 3D 프린팅 적층 제조
164일차,[비문학] 시간 순서 설명,[비문학] 은유와 상징 읽기,[비문학] 포스트모더니즘 건축
165일차,[비문학] 힘과 운동,[비문학] 갑신정변,[비문학] 리쾨르의 서사 정체성
166일차,[문학] 나무는 좋다,[문학] 만복사저포기,[문학] 운수 좋은 날 5부: 돌아보는 끝
167일차,[문학] 강아지똥,[문학] 금오신화 이야기,[문학] 관동별곡 발췌
168일차,[문학] 소공녀 1부: 뜻밖의 시작,[문학] 메아리 소년,[문학] 속미인곡 발췌
169일차,[칼럼] 도서관 조용한 이용을 둘러싼 서로 다른 생각,[칼럼] 일회용 플라스틱 컵 사용을 둘러싼 서로 다른 생각,[칼럼] 동물권을 둘러싼 서로 다른 생각
170일차,[논설문] 도서관 조용한 이용에 대해 내 입장을 밝히는 글,[논설문] 일회용 플라스틱 컵 사용에 대해 내 입장을 밝히는 글,[논설문] 동물권에 대해 내 입장을 밝히는 글
171일차,[비문학] 패턴 디자인,[비문학] 대기 순환,[비문학] 민주주의와 포퓰리즘
172일차,[비문학] 거북선의 구조,[비문학] 광고 이미지 읽기,[비문학] 반도체 도핑
173일차,[비문학] 원인과 결과 설명,[비문학] 스마트 시티,[비문학] 바이오센서
174일차,[비문학] 마찰력의 쓰임,[비문학] 문체 비교,[비문학] 공공미술
175일차,[비문학] 태양계의 구성,[비문학] 3.1 운동과 임시정부,[비문학] 언어게임과 의미
176일차,[문학] 소공녀 2부: 새로운 만남,[문학] 80일간의 세계 일주 1부: 뜻밖의 시작,[문학] 어부단가
177일차,[문학] 소공녀 3부: 깊어지는 문제,[문학] 80일간의 세계 일주 2부: 새로운 만남,[문학] 규원가 발췌
178일차,[문학] 소공녀 4부: 결심과 실행,[문학] 80일간의 세계 일주 3부: 깊어지는 문제,[문학] 수난이대
179일차,[건의문] 도서관 조용한 이용 해결을 위한 제안,[건의문] 일회용 플라스틱 컵 사용 해결을 위한 제안,[건의문] 동물권 해결을 위한 제안
180일차,[회의록] 도서관 조용한 이용을 주제로 한 토의 기록,[회의록] 일회용 플라스틱 컵 사용을 주제로 한 토의 기록,[회의록] 동물권을 주제로 한 토의 기록
181일차,[비문학] 사물놀이 장단,[비문학] 태양광 발전,[비문학] 숙의민주주의
182일차,[비문학] 도형으로 만드는 그림,[비문학] 해류와 기후,[비문학] 초전도체
183일차,[비문학] 비교와 대조로 읽기,[비문학] 캐릭터 디자인,[비문학] 스마트그리드
184일차,[비문학] 임진왜란의 배경,[비문학] 기후 소송,[비문학] 예술과 자본
185일차,[비문학] 속력 비교,[비문학] 매체 편집 의도,[비문학] 과학철학의 반증 가능성
186일차,[문학] 소공녀 5부: 돌아보는 끝,[문학] 80일간의 세계 일주 4부: 결심과 실행,[문학] 바다와 나비
187일차,[문학] 여름 강가에서,[문학] 80일간의 세계 일주 5부: 돌아보는 끝,[문학] 접동새
188일차,[문학] 연필의 하루,[문학] 노인과 바다 1부: 뜻밖의 시작,[문학] 광야
189일차,[칼럼] 운동장 쓰레기 문제를 둘러싼 서로 다른 생각,[칼럼] 교내 CCTV 설치를 둘러싼 서로 다른 생각,[칼럼] 메타버스 범죄를 둘러싼 서로 다른 생각
190일차,[논설문] 운동장 쓰레기 문제에 대해 내 입장을 밝히는 글,[논설문] 교내 CCTV 설치에 대해 내 입장을 밝히는 글,[논설문] 메타버스 범죄에 대해 내 입장을 밝히는 글
191일차,[비문학] 만화의 컷 분할,[비문학] 대한민국의 산업화,[비문학] 사회자본
192일차,[비문학] 인용 표현 이해하기,[비문학] 엘니뇨와 라니냐,[비문학] 리튬이온 배터리
193일차,[비문학] 조선의 신분 제도,[비문학] 기록화와 역사,[비문학] 저작권과 2차 창작
194일차,[비문학] 빛의 굴절,[비문학] 인공지능 저작권,[비문학] 인간 본성과 사회화
195일차,[비문학] 웹툰 연출의 차이,[비문학] 다큐멘터리 구조,[비문학] 감시자본주의
196일차,[문학] 플랜더스의 개 1부: 뜻밖의 시작,[문학] 노인과 바다 2부: 새로운 만남,[문학] 사랑손님과 어머니 1부: 뜻밖의 시작
197일차,[문학] 플랜더스의 개 2부: 새로운 만남,[문학] 노인과 바다 3부: 깊어지는 문제,[문학] 사랑손님과 어머니 2부: 새로운 만남
198일차,[문학] 플랜더스의 개 3부: 깊어지는 문제,[문학] 노인과 바다 4부: 결심과 실행,[문학] 사랑손님과 어머니 3부: 깊어지는 문제
199일차,[건의문] 운동장 쓰레기 문제 해결을 위한 제안,[건의문] 교내 CCTV 설치 해결을 위한 제안,[건의문] 메타버스 범죄 해결을 위한 제안
200일차,[회의록] 운동장 쓰레기 문제를 주제로 한 토의 기록,[회의록] 교내 CCTV 설치를 주제로 한 토의 기록,[회의록] 메타버스 범죄를 주제로 한 토의 기록
201일차,[비문학] 실학의 등장,[비문학] 4.19 혁명,[비문학] 핵융합
202일차,[비문학] 소리의 전달,[비문학] 신소재 그래핀,[비문학] 수직농장
203일차,[비문학] 의상 디자인의 기능,[비문학] 알고리즘 편향,[비문학] 게임의 미학
204일차,[비문학] 재생에너지 마을,[비문학] 6월 민주항쟁,[비문학] 기억과 자아의 연속성
205일차,[비문학] 우주 쓰레기의 위협,[비문학] 우주 정거장의 생활,[비문학] 알고리즘 거버넌스
206일차,[문학] 플랜더스의 개 4부: 결심과 실행,[문학] 노인과 바다 5부: 돌아보는 끝,[문학] 사랑손님과 어머니 4부: 결심과 실행
207일차,[문학] 플랜더스의 개 5부: 돌아보는 끝,[문학] 모래시계,[문학] 사랑손님과 어머니 5부: 돌아보는 끝
208일차,[문학] 산새의 아침,[문학] 수박씨의 모험,[문학] 쉽게 씌어진 시
209일차,[칼럼] 반려동물 산책 예절을 둘러싼 서로 다른 생각,[칼럼] 학생 자치회 예산을 둘러싼 서로 다른 생각,[칼럼] 데이터 프라이버시를 둘러싼 서로 다른 생각
210일차,[논설문] 반려동물 산책 예절에 대해 내 입장을 밝히는 글,[논설문] 학생 자치회 예산에 대해 내 입장을 밝히는 글,[논설문] 데이터 프라이버시에 대해 내 입장을 밝히는 글
211일차,[비문학] 계절별 별자리,[비문학] 우주 관광 산업,[비문학] 우주배경복사
212일차,[비문학] 커피 한 잔의 세계 여행,[비문학] 국제 우주 협력,[비문학] 제임스웹 우주망원경
213일차,[비문학] 우주 망원경의 눈,[비문학] 우주 쓰레기 처리,[비문학] 수소 연료전지
214일차,[비문학] 인터뷰 기사 읽기,[비문학] 디지털 복원,[비문학] 에너지 저장 장치
215일차,[비문학] 개항 이후의 변화,[비문학] 개인정보 보안,[비문학] 웹툰의 스크롤 서사
216일차,[문학] 걸리버 여행기 1부: 뜻밖의 시작,[문학] 별 헤는 밤,[문학] 별 헤는 밤
217일차,[문학] 걸리버 여행기 2부: 새로운 만남,[문학] 짧은 여행,[문학] 비
218일차,[문학] 걸리버 여행기 3부: 깊어지는 문제,[문학] 골목 끝 달빛,[문학] 자화상
219일차,[건의문] 반려동물 산책 예절 해결을 위한 제안,[건의문] 학생 자치회 예산 해결을 위한 제안,[건의문] 데이터 프라이버시 해결을 위한 제안
